Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members
125998AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10-WHO:R09.3; SNOMED CT:248595008; IMO ProblemIT:802569; CIEL:125998,"COVID-19-Starter, Sputum finding",Sputum production,"Material coughed up from the lungs and expectorated via the mouth. It contains MUCUS, cellular debris, and microorganisms. It may also contain blood or pus.",Diagnosis,N/A,,
141600AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:267036007; ICD-10-WHO:R06.0; PIH:5960; 3BT:10028068; ICPC2:R02; CIEL:141600; IMO ProblemIT:27423,"COVID-19-Starter, Shortness of breath",Shortness of breath,,Diagnosis,N/A,,
158843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:267102003; 3BT:10048507; ICPC2:R74; CIEL:158843; IMO ProblemIT:89743,"COVID-19-Starter, Sore throat",Sore throat,,Diagnosis,N/A,,
165501AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:64531003; CIEL:165501; IMO ProblemIT:53932,"COVID-19-Starter, Rhinorrhea",Rhinorrhea,,Symptom,N/A,,
139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:25064002; ICD-10-WHO:R51; PIH:3726; PIH:620; PIH Malawi:620; AMPATH:620; AMPATH:6039; 3BT:10041859; ICPC2:N01; IMO ProblemIT:45536; CIEL:139084,"COVID-19-Starter, Headache",Headache,"Pain in the cranial region that may occur as an isolated and benign symptom or as a manifestation of a wide variety of conditions including SUBARACHNOID HEMORRHAGE; CRANIOCEREBRAL TRAUMA; CENTRAL NERVOUS SYSTEM INFECTIONS; INTRACRANIAL HYPERTENSION; and other disorders. In general, recurrent headaches that are not associated with a primary disease process are referred to as HEADACHE DISORDERS (e.g., MIGRAINE).",Diagnosis,N/A,,
120749AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:29857009; ICD-10-WHO:R07.4; PIH:136; AMPATH:136; AMPATH:5970; IMO ProblemIT:85191; CIEL:120749,"COVID-19-Starter, Chest pain",Chest pain,,Diagnosis,N/A,,
121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:68962001; AMPATH:121; IMO ProblemIT:27371; CIEL:121,"COVID-19-Starter, Myalgia",Myalgia,"Muscular pain or tenderness, especially when diffuse and nonspecific.",Finding,N/A,,
135367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:271795006; ICD-10-WHO:R53; IMO ProblemIT:49245; CIEL:135367,"COVID-19-Starter, Malaise and fatigue",Malaise and fatigue,"The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.",Diagnosis,N/A,,
133473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:16932000; ICD-10-WHO:R11; PIH:5978; CIEL:133473; IMO ProblemIT:84351,"COVID-19-Starter, Nausea and Vomiting",Nausea and Vomiting,The forcible expulsion of the contents of the stomach through the mouth.,Diagnosis,N/A,,
142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:62315008; AMPATH:16; AMPATH:5983; CIEL:142412; IMO ProblemIT:42046,"COVID-19-Starter, Diarrhea",Diarrhea,Passage of excessively liquid or excessively frequent stools.,Diagnosis,Coded,"COVID-19-Starter, No; COVID-19-Starter, Yes; COVID-19-Starter, Unknown",
135588AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED NP:191981008; SNOMED NP:36480000; ICD-10-WHO:R43.2; SNOMED CT:36955009; 3BT:10091167; ICPC2:N16; IMO ProblemIT:300621; CIEL:135588,"COVID-19-Starter, Loss of taste",Loss of taste,"Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.",Diagnosis,N/A,,
135589AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:44169009; ICD-10-WHO:R43.0;IMO ProblemIT:328542; CIEL:135589,"COVID-19-Starter, Loss of sense of smell",Loss of sense of smell,Loss of or impaired ability to smell. This may be caused by OLFACTORY NERVE DISEASES; PARANASAL SINUS DISEASES; viral RESPIRATORY TRACT INFECTIONS; CRANIOCEREBRAL TRAUMA; SMOKING; and other conditions.,Diagnosis,N/A,,
120345AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED NP:286933003; ICD-10-WHO:R41.0; SNOMED CT:40917007; AMPATH:6006; IMO ProblemIT:40901; CIEL:120345,"COVID-19-Starter, Confusion",Confusion,,Finding,N/A,,
,,,"COVID-19-Starter, Other new symptoms",Other,,Finding,N/A,,
,,,"COVID-19-Starter, COVID-19, new symptoms since last check","COVID-19, new symptoms",,Question,Coded,"COVID-19-Starter, Fever; COVID-19-Starter, Cough; COVID-19-Starter, Sputum finding; COVID-19-Starter, Shortness of breath; COVID-19-Starter, Sore throat; COVID-19-Starter, Rhinorrhea; COVID-19-Starter, Headache; COVID-19-Starter, Chest pain; COVID-19-Starter, Myalgia; COVID-19-Starter, Malaise and fatigue; COVID-19-Starter, Nausea and Vomiting; COVID-19-Starter, Diarrhea; COVID-19-Starter, Loss of taste; COVID-19-Starter, Loss of sense of smell; COVID-19-Starter, Confusion; COVID-19-Starter, Other new symptoms",
5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED NP:386725007; LOINC:8310-5; AMPATH:5088; PIH:5088; org.openmrs.module.mdrtb:TEMPERATURE; CIEL:5088,"COVID-19-Starter, Temperature (C)",Temperature (C),Patient's temperature in degrees centigrade.,Finding,Numeric,,
5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:78564009; LOINC:8867-4; AMPATH:5087; PIH:5087; org.openmrs.module.mdrtb:PULSE; CIEL:5087,"COVID-19-Starter, Pulse",Pulse,"Patient pulse rate, as measured with a peripheral oximeter.",Finding,Numeric,,
5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:271649006; LOINC:8480-6; AMPATH:5085; PIH Malawi:5085; PIH:5085; org.openmrs.module.mdrtb:SYSTOLIC BLOOD PRESSURE; CIEL:5085,"COVID-19-Starter, Systolic blood pressure",Systolic blood pressure,A patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position).,Finding,Numeric,,
5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:271650006; LOINC:8462-4; AMPATH:5086; PIH Malawi:5086; PIH:5086; CIEL:5086,"COVID-19-Starter, Diastolic blood pressure",Diastolic blood pressure,A patient's diastolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position).,Finding,Numeric,,
5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:431314004; LOINC:2710-2; LOINC:59408-5; AMPATH:5092; IMO ProcedureIT:3771; IMO ProcedureIT:26745610; CIEL:5092,"COVID-19-Starter, Arterial blood oxygen saturation (pulse oximeter)",Arterial blood oxygen saturation (pulse oximeter),"Oxygen saturation, as measured from a peripheral oximeter.",Test,Numeric,,
887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:22569008; LOINC:14749-6; LOINC:2345-7; AMPATH:9; AMPATH:887; IMO ProcedureIT:602403; IMO ProcedureIT:932390; CIEL:887,"COVID-19-Starter, Serum glucose",Serum glucose,Laboratory measurement of the glucose level in the blood in mg/ml.,Test,Numeric,,
1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1107; PIH:1905; AMPATH:1107; SNOMED CT:260413007; org.openmrs.module.mdrtb:NONE; PIH:1107; PIH Malawi:1107,"COVID-19-Starter, None",None,Generic descriptive answer.,Misc,N/A,,
1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1498; SNOMED CT:255604002; PIH:1901; AMPATH:1743,"COVID-19-Starter, Mild",Mild,General qualifier value.,Finding,N/A,,
1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1499; PIH:1900; PIH:1907; SNOMED CT:6736007; AMPATH:1744,"COVID-19-Starter, Moderate",Moderate,General qualifier value of the severity.,Finding,N/A,,
1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1500; SNOMED CT:24484000; PIH:1903; AMPATH:1745,"COVID-19-Starter, Severe",Severe,General qualifier value for the severity assesment.,Finding,N/A,,
159409AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:159409; SNOMED NP:24484000; SNOMED MVP:1594091000105007; PIH:1904,"COVID-19-Starter, Very Severe",Very Severe,Grading as very severe.,Misc,N/A,,
166000AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED NP:405161002; LOINC:75260-0; CIEL:166000,"COVID-19-Starter, Pain level (coded)",Pain level,,Question,Coded,"COVID-19-Starter, None; COVID-19-Starter, Mild; COVID-19-Starter, Moderate; COVID-19-Starter, Severe; COVID-19-Starter, Very Severe",
,,,"COVID-19-Starter, Vitals",Vitals,,ConvSet,N/A,,"COVID-19-Starter, Temperature (C); COVID-19-Starter, Pulse; COVID-19-Starter, Systolic blood pressure; COVID-19-Starter, Diastolic blood pressure; COVID-19-Starter, Arterial blood oxygen saturation (pulse oximeter); COVID-19-Starter, Serum glucose; COVID-19-Starter, Pain level (coded)"
77784AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:77784; RxNORM:5521; SNOMED CT:83490000,"COVID-19-Starter, HYDROXYCHLOROQUINE",HydroxyChloroquine Sulphate 400mg,,Drug,N/A,,
,,,"COVID-19-Starter, First line medication",First line medication,,Question,Coded,"COVID-19-Starter, HYDROXYCHLOROQUINE",
73041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:73041; RxNORM:2193; AMPATH:496; PIH:496; SNOMED CT:19841008,"COVID-19-Starter, CEFTRIAXONE",Ceftriaxone,,Drug,N/A,,
71160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:71160; SNOMED NP:372687004; SNOMED CT:27658006; AMPATH:265; RxNORM:723,"COVID-19-Starter, AMOXICILLIN",Amoxicillin,,Drug,N/A,,
75222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:75222; RxNORM:3640; AMPATH:95; SNOMED CT:10504007,"COVID-19-Starter, DOXYCYCLINE",Doxycycline 100g,,Drug,N/A,,
,,,"COVID-19-Starter, Antibiotics",Antibiotics,,Question,Coded,"COVID-19-Starter, CEFTRIAXONE; COVID-19-Starter, AMOXICILLIN; COVID-19-Starter, DOXYCYCLINE",
86672AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:86672; RxNORM:11416; SNOMED CT:350591008,"COVID-19-Starter, ZINC",Zinc,,Drug,N/A,,
,,,"COVID-19-Starter, Vitamin C",Vitamin C,,Drug,N/A,,
,,,"COVID-19-Starter, Other medicines",Other medicines,,Question,Coded,"COVID-19-Starter, ZINC; COVID-19-Starter, Vitamin C",
,,,"COVID-19-Starter, Additional medications",Additional medications,,Question,Text,,
,,,"COVID-19-Starter, Medications and treatments provided",Medications and treatments provided,,ConvSet,N/A,,"COVID-19-Starter, First line medication; COVID-19-Starter, Antibiotics; COVID-19-Starter, Other medicines; COVID-19-Starter, Additional medications"
